Review,Category,Rating
"Not as expected, disappointed",Books,Negative
Fantastic! Highly recommended,Clothing,Negative
Great features and easy to use,Clothing,Negative
"Horrible, do not buy this",Electronics,Positive
Fantastic! Highly recommended,Home,Positive
"Excellent product, totally worth it",Clothing,Positive
"Perfect, loved it!",Books,Negative
"Excellent product, totally worth it",Clothing,Positive
"Excellent product, totally worth it",Clothing,Negative
"Bad quality, waste of money",Toys,Positive
"Bad quality, waste of money",Electronics,Positive
"Perfect, loved it!",Electronics,Positive
Good quality and value for money,Home,Negative
"Horrible, do not buy this",Electronics,Negative
"Excellent product, totally worth it",Toys,Positive
"Excellent product, totally worth it",Electronics,Positive
Great features and easy to use,Clothing,Positive
Worst experience ever,Electronics,Negative
Fantastic! Highly recommended,Clothing,Positive
"Not as expected, disappointed",Clothing,Negative
"Bad quality, waste of money",Electronics,Negative
"Horrible, do not buy this",Home,Negative
Worst experience ever,Clothing,Positive
"Bad quality, waste of money",Books,Positive
"Perfect, loved it!",Books,Negative
Good quality and value for money,Books,Negative
"Bad quality, waste of money",Toys,Positive
"Bad quality, waste of money",Books,Positive
Worst experience ever,Toys,Negative
"Terrible product, not recommended",Home,Positive
Fantastic! Highly recommended,Toys,Negative
"Terrible product, not recommended",Books,Positive
"Excellent product, totally worth it",Clothing,Negative
Fantastic! Highly recommended,Books,Positive
Great features and easy to use,Clothing,Negative
"Perfect, loved it!",Toys,Positive
Fantastic! Highly recommended,Electronics,Positive
Fantastic! Highly recommended,Clothing,Positive
Good quality and value for money,Toys,Positive
Great features and easy to use,Toys,Positive
"Perfect, loved it!",Toys,Positive
Great features and easy to use,Books,Negative
Worst experience ever,Books,Negative
"Perfect, loved it!",Clothing,Positive
"Horrible, do not buy this",Books,Negative
Good quality and value for money,Books,Negative
Great features and easy to use,Electronics,Negative
"Not as expected, disappointed",Toys,Negative
Worst experience ever,Electronics,Positive
Fantastic! Highly recommended,Clothing,Positive
"Not as expected, disappointed",Books,Negative
"Excellent product, totally worth it",Electronics,Negative
"Not as expected, disappointed",Toys,Positive
"Terrible product, not recommended",Toys,Positive
Good quality and value for money,Electronics,Negative
Worst experience ever,Toys,Negative
Good quality and value for money,Toys,Negative
"Terrible product, not recommended",Home,Negative
Good quality and value for money,Toys,Positive
Great features and easy to use,Clothing,Positive
"Bad quality, waste of money",Home,Positive
Fantastic! Highly recommended,Toys,Positive
"Terrible product, not recommended",Toys,Positive
"Not as expected, disappointed",Toys,Positive
"Bad quality, waste of money",Electronics,Negative
"Excellent product, totally worth it",Electronics,Negative
"Terrible product, not recommended",Toys,Negative
"Horrible, do not buy this",Clothing,Positive
"Bad quality, waste of money",Electronics,Positive
Worst experience ever,Books,Positive
Great features and easy to use,Home,Negative
"Horrible, do not buy this",Clothing,Positive
Worst experience ever,Toys,Positive
"Perfect, loved it!",Home,Negative
"Not as expected, disappointed",Toys,Positive
Good quality and value for money,Home,Positive
Great features and easy to use,Electronics,Positive
"Bad quality, waste of money",Electronics,Positive
Worst experience ever,Clothing,Positive
Worst experience ever,Books,Negative
Good quality and value for money,Electronics,Positive
"Not as expected, disappointed",Toys,Positive
"Perfect, loved it!",Clothing,Positive
"Horrible, do not buy this",Electronics,Negative
"Perfect, loved it!",Toys,Negative
Good quality and value for money,Home,Positive
Worst experience ever,Toys,Negative
"Not as expected, disappointed",Books,Negative
Great features and easy to use,Clothing,Negative
Worst experience ever,Books,Positive
"Bad quality, waste of money",Clothing,Negative
"Terrible product, not recommended",Toys,Positive
Great features and easy to use,Books,Negative
Good quality and value for money,Books,Positive
Good quality and value for money,Clothing,Negative
Great features and easy to use,Toys,Negative
"Excellent product, totally worth it",Home,Negative
"Horrible, do not buy this",Books,Positive
"Not as expected, disappointed",Electronics,Positive
"Terrible product, not recommended",Books,Negative
